"","Network","remove_strategy","remove_ratio","remove_number","measure","Run","value"
"98","IW","edge_strong",0.8,"5278","Eff","run1",0.300022105674781
"99","IW","node_rand",0.8,"244","Eff","run1",0.265156701765372
"100","IW","node_degree_high",0.8,"244","Eff","run1",0.00702703192312805
"101","IW","edge_rand",0.8,"5278","Eigen","run1",0.016697239927189
"102","IW","edge_strong",0.8,"5278","Eigen","run1",0.0140453736296326
"103","IW","node_rand",0.8,"244","Eigen","run1",0.0482871296538709
"104","IW","node_degree_high",0.8,"244","Eigen","run1",0.00345790136586585
"105","IW","edge_rand",0.8,"5278","Pcr","run1",0.635378811955065
"106","IW","edge_strong",0.8,"5278","Pcr","run1",0.444735616431023
"107","IW","node_rand",0.8,"244","Pcr","run1",-0.515506547208822
"108","IW","node_degree_high",0.8,"244","Pcr","run1",2.01383125864454
"109","IW","edge_rand",0.9,"5937","Eff","run1",0.218027102732344
"110","IW","edge_strong",0.9,"5937","Eff","run1",0.235292729833567
"111","IW","node_rand",0.9,"274","Eff","run1",0.211318709535109
"112","IW","node_degree_high",0.9,"274","Eff","run1",0.00332026841795817
"113","IW","edge_rand",0.9,"5937","Eigen","run1",0.0100582244336175
"114","IW","edge_strong",0.9,"5937","Eigen","run1",0.00831242398186966
"115","IW","node_rand",0.9,"274","Eigen","run1",0.0648915007441562
"116","IW","node_degree_high",0.9,"274","Eigen","run1",0.00177342497469287
"117","IW","edge_rand",0.9,"5937","Pcr","run1",-6.61911932399638
"118","IW","edge_strong",0.9,"5937","Pcr","run1",6.44229510994794
"119","IW","node_rand",0.9,"274","Pcr","run1",11.0806920688125
"120","IW","node_degree_high",0.9,"274","Pcr","run1",2.00299170659696
"121","TW","edge_rand",0,"0","Eff","run1",0.167628704367863
"122","TW","edge_strong",0,"0","Eff","run1",0.167619717311762
"123","TW","node_rand",0,"0","Eff","run1",0.167628704367863
"124","TW","node_degree_high",0,"0","Eff","run1",0.163867356534376
"125","TW","edge_rand",0,"0","Eigen","run1",0.0106883084538406
"126","TW","edge_strong",0,"0","Eigen","run1",0.0106415486787461
"127","TW","node_rand",0,"0","Eigen","run1",0.0106883084538406
"128","TW","node_degree_high",0,"0","Eigen","run1",0.0100489326274538
"129","TW","edge_rand",0,"0","Pcr","run1",0.90765247410817
"130","TW","edge_strong",0,"0","Pcr","run1",0.906821480406386
"131","TW","node_rand",0,"0","Pcr","run1",0.90765247410817
"132","TW","node_degree_high",0,"0","Pcr","run1",0.892012821068134
"133","TW","edge_rand",0.1,"64","Eff","run1",0.162935019536976
"134","TW","edge_strong",0.1,"64","Eff","run1",0.165933046163016
"135","TW","node_rand",0.1,"23","Eff","run1",0.145303978689209
"136","TW","node_degree_high",0.1,"23","Eff","run1",0.101804151787745
"137","TW","edge_rand",0.1,"64","Eigen","run1",0.0100033037696565
"138","TW","edge_strong",0.1,"64","Eigen","run1",0.00934375962446806
"139","TW","node_rand",0.1,"23","Eigen","run1",0.00980009306058195
"140","TW","node_degree_high",0.1,"23","Eigen","run1",0.00592976275580896
"141","TW","edge_rand",0.1,"64","Pcr","run1",0.88637628820164
"142","TW","edge_strong",0.1,"64","Pcr","run1",0.872980532614621
"143","TW","node_rand",0.1,"23","Pcr","run1",0.868345705505374
"144","TW","node_degree_high",0.1,"23","Pcr","run1",0.319826469436327
"145","TW","edge_rand",0.2,"128","Eff","run1",0.163368963324359
"146","TW","edge_strong",0.2,"128","Eff","run1",0.163167739575906
"147","TW","node_rand",0.2,"47","Eff","run1",0.147581028810489
"148","TW","node_degree_high",0.2,"47","Eff","run1",0.0342498076476061
"149","TW","edge_rand",0.2,"128","Eigen","run1",0.00944060317175717
"150","TW","edge_strong",0.2,"128","Eigen","run1",0.00842673888308348
"151","TW","node_rand",0.2,"47","Eigen","run1",0.00988387267723646
"152","TW","node_degree_high",0.2,"47","Eigen","run1",0.00409590672521037
"153","TW","edge_rand",0.2,"128","Pcr","run1",0.86238548273432
"154","TW","edge_strong",0.2,"128","Pcr","run1",0.827445976076622
"155","TW","node_rand",0.2,"47","Pcr","run1",0.817025440313112
"156","TW","node_degree_high",0.2,"47","Pcr","run1",13.2006097560975
"157","TW","edge_rand",0.3,"193","Eff","run1",0.138845830239206
"158","TW","edge_strong",0.3,"193","Eff","run1",0.159682751875766
"159","TW","node_rand",0.3,"70","Eff","run1",0.136661281005645
"160","TW","node_degree_high",0.3,"70","Eff","run1",0.010389522771933
"161","TW","edge_rand",0.3,"193","Eigen","run1",0.00858453878501356
"162","TW","edge_strong",0.3,"193","Eigen","run1",0.00793569153173477
"163","TW","node_rand",0.3,"70","Eigen","run1",0.0119108902665216
"164","TW","node_degree_high",0.3,"70","Eigen","run1",0.00327180413347113
"165","TW","edge_rand",0.3,"193","Pcr","run1",0.819282433349644
"166","TW","edge_strong",0.3,"193","Pcr","run1",0.774736842105263
"167","TW","node_rand",0.3,"70","Pcr","run1",0.858952512619361
"168","TW","node_degree_high",0.3,"70","Pcr","run1",2.83690987124464
"169","TW","edge_rand",0.4,"257","Eff","run1",0.131280411592075
"170","TW","edge_strong",0.4,"257","Eff","run1",0.152768537762958
"171","TW","node_rand",0.4,"94","Eff","run1",0.113180094071545
"172","TW","node_degree_high",0.4,"94","Eff","run1",0.00576602907959505
"173","TW","edge_rand",0.4,"257","Eigen","run1",0.00802832542058076
"174","TW","edge_strong",0.4,"257","Eigen","run1",0.00704477871831782
"175","TW","node_rand",0.4,"94","Eigen","run1",0.00995936712451441
"176","TW","node_degree_high",0.4,"94","Eigen","run1",0.00255334535682909
"177","TW","edge_rand",0.4,"257","Pcr","run1",0.756688068485821
"178","TW","edge_strong",0.4,"257","Pcr","run1",0.676899099675772
"179","TW","node_rand",0.4,"94","Pcr","run1",0.700130117105395
"180","TW","node_degree_high",0.4,"94","Pcr","run1",2.29719431936266
"181","TW","edge_rand",0.5,"321","Eff","run1",0.135786223894828
"182","TW","edge_strong",0.5,"321","Eff","run1",0.132136867036411
"183","TW","node_rand",0.5,"117","Eff","run1",0.0665399077603023
"184","TW","node_degree_high",0.5,"117","Eff","run1",0.00513311414204635
"185","TW","edge_rand",0.5,"321","Eigen","run1",0.00800138104607096
"186","TW","edge_strong",0.5,"321","Eigen","run1",0.00620862112215833
"187","TW","node_rand",0.5,"117","Eigen","run1",0.00929611025748759
"188","TW","node_degree_high",0.5,"117","Eigen","run1",0.00239394856618728
"189","TW","edge_rand",0.5,"321","Pcr","run1",0.659725071809602
"190","TW","edge_strong",0.5,"321","Pcr","run1",0.488652835658634
"191","TW","node_rand",0.5,"117","Pcr","run1",0.329853862212944
"192","TW","node_degree_high",0.5,"117","Pcr","run1",2.19330855018587
"193","TW","edge_rand",0.6,"385","Eff","run1",0.110873878041942
"194","TW","edge_strong",0.6,"385","Eff","run1",0.104084980001177
"195","TW","node_rand",0.6,"140","Eff","run1",0.0687854495054734
"196","TW","node_degree_high",0.6,"140","Eff","run1",0.00341027670760187
"197","TW","edge_rand",0.6,"385","Eigen","run1",0.0077346000220387
"198","TW","edge_strong",0.6,"385","Eigen","run1",0.00606055632894838
"199","TW","node_rand",0.6,"140","Eigen","run1",0.00805905502250326
"200","TW","node_degree_high",0.6,"140","Eigen","run1",0.00185360502374333
"201","TW","edge_rand",0.6,"385","Pcr","run1",0.4436
"202","TW","edge_strong",0.6,"385","Pcr","run1",0.120724519210085
"203","TW","node_rand",0.6,"140","Pcr","run1",-2.1798925071135
"204","TW","node_degree_high",0.6,"140","Pcr","run1",2.09326086956522
"205","TW","edge_rand",0.7,"449","Eff","run1",0.0876662656194658
"206","TW","edge_strong",0.7,"449","Eff","run1",0.0765472785116089
"207","TW","node_rand",0.7,"164","Eff","run1",0.0300388023400832
"208","TW","node_degree_high",0.7,"164","Eff","run1",0.00320777077045363
"209","TW","edge_rand",0.7,"449","Eigen","run1",0.00640553618064612
"210","TW","edge_strong",0.7,"449","Eigen","run1",0.00542444757242055
"211","TW","node_rand",0.7,"164","Eigen","run1",0.00662617558249065
"212","TW","node_degree_high",0.7,"164","Eigen","run1",0.00175606269761891
"213","TW","edge_rand",0.7,"449","Pcr","run1",-0.521685363483791
"214","TW","edge_strong",0.7,"449","Pcr","run1",-2.50786811539902
"215","TW","node_rand",0.7,"164","Pcr","run1",2.74510717614166
"216","TW","node_degree_high",0.7,"164","Pcr","run1",2.06075626681773
"217","TW","edge_rand",0.8,"514","Eff","run1",0.0702346086572842
"218","TW","edge_strong",0.8,"514","Eff","run1",0.0506339024753458
"219","TW","node_rand",0.8,"187","Eff","run1",0.0493968144815152
"220","TW","node_degree_high",0.8,"187","Eff","run1",0.00207816812727476
"221","TW","edge_rand",0.8,"514","Eigen","run1",0.00713955961845426
"222","TW","edge_strong",0.8,"514","Eigen","run1",0.00538414667812718
"223","TW","node_rand",0.8,"187","Eigen","run1",0.0118395517737662
"224","TW","edge_rand",0.8,"514","Pcr","run1",-3.15924764890282
"225","TW","edge_strong",0.8,"514","Pcr","run1",5.708
"226","TW","node_rand",0.8,"187","Pcr","run1",5.03611556982344
"227","TW","node_degree_high",0.8,"187","Pcr","run1",2.02381921824104
"228","TW","edge_rand",0.9,"578","Eff","run1",0.0432125090068033
"229","TW","edge_strong",0.9,"578","Eff","run1",0.0207618170888843
"230","TW","node_rand",0.9,"211","Eff","run1",0.0350815028436377
"231","TW","node_degree_high",0.9,"211","Eff","run1",0.0058451519967185
"232","TW","edge_rand",0.9,"578","Eigen","run1",0.00813692592194471
"233","TW","edge_strong",0.9,"578","Eigen","run1",0.00634401089984354
"234","TW","node_rand",0.9,"211","Eigen","run1",0.0140579725698629
"235","TW","node_degree_high",0.9,"211","Eigen","run1",0.0031959764753391
"236","TW","edge_rand",0.9,"578","Pcr","run1",4.51663326653307
"237","TW","edge_strong",0.9,"578","Pcr","run1",2.77001067235859
"238","TW","node_rand",0.9,"211","Pcr","run1",2.49878197320341
"239","TW","node_degree_high",0.9,"211","Pcr","run1",2.03273185060848
"240","CW","edge_rand",0,"0","Eff","run1",0.328023480573893
"241","CW","edge_strong",0,"0","Eff","run1",0.328020537339708
"242","CW","node_rand",0,"0","Eff","run1",0.328023480573893
"243","CW","node_degree_high",0,"0","Eff","run1",0.327257317698646
"244","CW","edge_rand",0,"0","Eigen","run1",2.29116766171367
"245","CW","edge_strong",0,"0","Eigen","run1",2.29126766694364
"246","CW","node_rand",0,"0","Eigen","run1",2.29116766171367
"247","CW","node_degree_high",0,"0","Eigen","run1",2.16715039985777
"248","CW","edge_rand",0,"0","Pcr","run1",0.986935858009626
"249","CW","edge_strong",0,"0","Pcr","run1",0.986933488509178
"250","CW","node_rand",0,"0","Pcr","run1",0.986935858009626
"251","CW","node_degree_high",0,"0","Pcr","run1",0.986483950708763
"252","CW","edge_rand",0.1,"692","Eff","run1",0.322108673634728
"253","CW","edge_strong",0.1,"692","Eff","run1",0.325550213967944
"254","CW","node_rand",0.1,"35","Eff","run1",0.320887972098752
"255","CW","node_degree_high",0.1,"35","Eff","run1",0.298286409999855
"256","CW","edge_rand",0.1,"692","Eigen","run1",1.39717222263508
"257","CW","edge_strong",0.1,"692","Eigen","run1",0.812008309945021
"258","CW","node_rand",0.1,"35","Eigen","run1",1.96220764576973
"259","CW","node_degree_high",0.1,"35","Eigen","run1",0.0912209901588178
"260","CW","edge_rand",0.1,"692","Pcr","run1",0.983981863960303
"261","CW","edge_strong",0.1,"692","Pcr","run1",0.982793708607624
"262","CW","node_rand",0.1,"35","Pcr","run1",0.98421216047011
"263","CW","node_degree_high",0.1,"35","Pcr","run1",0.95257888748492
"264","CW","edge_rand",0.2,"1383","Eff","run1",0.311705521037131
"265","CW","edge_strong",0.2,"1383","Eff","run1",0.322376175386377
"266","CW","node_rand",0.2,"71","Eff","run1",0.314053487375896
"267","CW","node_degree_high",0.2,"71","Eff","run1",0.262814906429367
"268","CW","edge_rand",0.2,"1383","Eigen","run1",0.69241057434318
"269","CW","edge_strong",0.2,"1383","Eigen","run1",0.212797971606293
"270","CW","node_rand",0.2,"71","Eigen","run1",1.54575647568749
"271","CW","node_degree_high",0.2,"71","Eigen","run1",0.0222854254995831
"272","CW","edge_rand",0.2,"1383","Pcr","run1",0.97961510740505
"273","CW","edge_strong",0.2,"1383","Pcr","run1",0.97714663362247
"274","CW","node_rand",0.2,"71","Pcr","run1",0.980705454562518
"275","CW","node_degree_high",0.2,"71","Pcr","run1",0.803613413337079
"276","CW","edge_rand",0.3,"2075","Eff","run1",0.309862660576862
"277","CW","edge_strong",0.3,"2075","Eff","run1",0.319788932693154
"278","CW","node_rand",0.3,"106","Eff","run1",0.290175326880378
"279","CW","node_degree_high",0.3,"106","Eff","run1",0.232831128099457
"280","CW","edge_rand",0.3,"2075","Eigen","run1",0.26132723221779
"281","CW","edge_strong",0.3,"2075","Eigen","run1",0.0706987771009917
"282","CW","node_rand",0.3,"106","Eigen","run1",0.745300067857571
"283","CW","node_degree_high",0.3,"106","Eigen","run1",0.0137168604342149
"284","CW","edge_rand",0.3,"2075","Pcr","run1",0.973711110664204
"285","CW","edge_strong",0.3,"2075","Pcr","run1",0.968945086465188
"286","CW","node_rand",0.3,"106","Pcr","run1",0.968743641138524
"287","CW","node_degree_high",0.3,"106","Pcr","run1",0.225265348858429
"288","CW","edge_rand",0.4,"2766","Eff","run1",0.29698645267865
"289","CW","edge_strong",0.4,"2766","Eff","run1",0.315392913910856
"290","CW","node_rand",0.4,"142","Eff","run1",0.283670587178063
"291","CW","node_degree_high",0.4,"142","Eff","run1",0.194656547502797
"292","CW","edge_rand",0.4,"2766","Eigen","run1",0.0968571267236524
"293","CW","edge_strong",0.4,"2766","Eigen","run1",0.0382045644781088
"294","CW","node_rand",0.4,"142","Eigen","run1",0.568200392850412
"295","CW","node_degree_high",0.4,"142","Eigen","run1",0.0103941518465766
"296","CW","edge_rand",0.4,"2766","Pcr","run1",0.964832711452924
"297","CW","edge_strong",0.4,"2766","Pcr","run1",0.956102647772368
"298","CW","node_rand",0.4,"142","Pcr","run1",0.957322835388254
"299","CW","node_degree_high",0.4,"142","Pcr","run1",-19.0848219178082
"300","CW","edge_rand",0.5,"3458","Eff","run1",0.297142211336795
"301","CW","edge_strong",0.5,"3458","Eff","run1",0.316149982415761
"302","CW","node_rand",0.5,"177","Eff","run1",0.279497610204333
"303","CW","node_degree_high",0.5,"177","Eff","run1",0.165667439877624
"304","CW","edge_rand",0.5,"3458","Eigen","run1",0.0427439199359604
"305","CW","edge_strong",0.5,"3458","Eigen","run1",0.0275619419951789
"306","CW","node_rand",0.5,"177","Eigen","run1",0.322669717045286
"307","CW","node_degree_high",0.5,"177","Eigen","run1",0.0092249334429293
"308","CW","edge_rand",0.5,"3458","Pcr","run1",0.949476408413472
"309","CW","edge_strong",0.5,"3458","Pcr","run1",0.934982416220437
"310","CW","node_rand",0.5,"177","Pcr","run1",0.941481080349286
"311","CW","node_degree_high",0.5,"177","Pcr","run1",3.68478260869565
"312","CW","edge_rand",0.6,"4150","Eff","run1",0.268981141104847
"313","CW","edge_strong",0.6,"4150","Eff","run1",0.308036901878701
"314","CW","node_rand",0.6,"212","Eff","run1",0.288621011987897
"315","CW","node_degree_high",0.6,"212","Eff","run1",0.0893081895021999
"316","CW","edge_rand",0.6,"4150","Eigen","run1",0.025660986765417
"317","CW","edge_strong",0.6,"4150","Eigen","run1",0.0212742128646407
"318","CW","node_rand",0.6,"212","Eigen","run1",0.2624292317103
"319","CW","node_degree_high",0.6,"212","Eigen","run1",0.00683082657921485
"320","CW","edge_rand",0.6,"4150","Pcr","run1",0.920278666632687
"321","CW","edge_strong",0.6,"4150","Pcr","run1",0.893927198623091
"322","CW","node_rand",0.6,"212","Pcr","run1",0.925961286773886
"323","CW","node_degree_high",0.6,"212","Pcr","run1",2.29020357972401
"324","CW","edge_rand",0.7,"4841","Eff","run1",0.255051311370263
"325","CW","edge_strong",0.7,"4841","Eff","run1",0.286190803202362
"326","CW","node_rand",0.7,"248","Eff","run1",0.214350321361317
"327","CW","node_degree_high",0.7,"248","Eff","run1",0.0167235452626498
"328","CW","edge_rand",0.7,"4841","Eigen","run1",0.0189553198583641
"329","CW","edge_strong",0.7,"4841","Eigen","run1",0.0158918768658784
"330","CW","node_rand",0.7,"248","Eigen","run1",0.110286502006014
"331","CW","node_degree_high",0.7,"248","Eigen","run1",0.00443750082106177
"332","CW","edge_rand",0.7,"4841","Pcr","run1",0.858383660254975
"333","CW","edge_strong",0.7,"4841","Pcr","run1",0.791548203949253
"334","CW","node_rand",0.7,"248","Pcr","run1",0.827527763687985
"335","CW","node_degree_high",0.7,"248","Pcr","run1",2.06042318796975
"336","CW","edge_rand",0.8,"5533","Eff","run1",0.24776042366816
"337","CW","edge_strong",0.8,"5533","Eff","run1",0.264790406251015
"338","CW","node_rand",0.8,"283","Eff","run1",0.227984917451902
"339","CW","node_degree_high",0.8,"283","Eff","run1",0.00645793374664643
"340","CW","edge_rand",0.8,"5533","Eigen","run1",0.0144538775034932
"341","CW","edge_strong",0.8,"5533","Eigen","run1",0.0113652289857508
"342","CW","node_rand",0.8,"283","Eigen","run1",0.125411131561303
"343","CW","node_degree_high",0.8,"283","Eigen","run1",0.00289776879414056
"344","CW","edge_rand",0.8,"5533","Pcr","run1",0.663118669129231
"345","CW","edge_strong",0.8,"5533","Pcr","run1",0.400192143180501
"346","CW","node_rand",0.8,"283","Pcr","run1",0.722294863906182
"347","CW","node_degree_high",0.8,"283","Pcr","run1",2.01611594874681
"348","CW","edge_rand",0.9,"6224","Eff","run1",0.198322554929473
"349","CW","edge_strong",0.9,"6224","Eff","run1",0.211012265070392
"350","CW","node_rand",0.9,"319","Eff","run1",0.146984668259394
"351","CW","node_degree_high",0.9,"319","Eff","run1",0.00634674936037132
"352","CW","edge_rand",0.9,"6224","Eigen","run1",0.00858776052124038
"353","CW","edge_strong",0.9,"6224","Eigen","run1",0.0070742867322406
"354","CW","node_rand",0.9,"319","Eigen","run1",0.0530640019479377
"355","CW","edge_rand",0.9,"6224","Pcr","run1",-6.75171108819242
"356","CW","edge_strong",0.9,"6224","Pcr","run1",6.36697886004817
"357","CW","node_rand",0.9,"319","Pcr","run1",9.79067402672865
"358","CW","node_degree_high",0.9,"319","Pcr","run1",2.00736609929668
"359","IW","edge_rand",0,"0","Eff","run2",0.373645411937662
"360","IW","node_rand",0,"0","Eff","run2",0.373645411937662
"361","IW","edge_rand",0,"0","Eigen","run2",2.14453030934286
"362","IW","node_rand",0,"0","Eigen","run2",2.14453030934286
"363","IW","edge_rand",0,"0","Pcr","run2",0.986757824967231
"364","IW","node_rand",0,"0","Pcr","run2",0.986757824967231
"365","IW","edge_rand",0.1,"660","Eff","run2",0.365787981023802
"366","IW","node_rand",0.1,"30","Eff","run2",0.370445996875998
"367","IW","edge_rand",0.1,"660","Eigen","run2",1.3929867372046
"368","IW","node_rand",0.1,"30","Eigen","run2",1.91999704716901
"369","IW","edge_rand",0.1,"660","Pcr","run2",0.983956052007388
"370","IW","node_rand",0.1,"30","Pcr","run2",0.984959487803064
"371","IW","edge_rand",0.2,"1319","Eff","run2",0.353822143016337
"372","IW","node_rand",0.2,"61","Eff","run2",0.357482248575238
"373","IW","edge_rand",0.2,"1319","Eigen","run2",0.672911665212896
"374","IW","node_rand",0.2,"61","Eigen","run2",1.2885922533343
"375","IW","edge_rand",0.2,"1319","Pcr","run2",0.979777858306759
"376","IW","node_rand",0.2,"61","Pcr","run2",0.979185695963502
"377","IW","edge_rand",0.3,"1979","Eff","run2",0.353705767903005
"378","IW","node_rand",0.3,"92","Eff","run2",0.346461707470146
"379","IW","edge_rand",0.3,"1979","Eigen","run2",0.250368193353409
"380","IW","node_rand",0.3,"92","Eigen","run2",0.837970688813044
"381","IW","edge_rand",0.3,"1979","Pcr","run2",0.973563020791129
"382","IW","node_rand",0.3,"92","Pcr","run2",0.968750675508523
"383","IW","edge_rand",0.4,"2639","Eff","run2",0.336797562071338
"384","IW","node_rand",0.4,"122","Eff","run2",0.344365640302568
"385","IW","edge_rand",0.4,"2639","Eigen","run2",0.0971996350649776
"386","IW","node_rand",0.4,"122","Eigen","run2",0.966024163968723
"387","IW","edge_rand",0.4,"2639","Pcr","run2",0.963662202926512
"388","IW","node_rand",0.4,"122","Pcr","run2",0.966278408025981
"389","IW","edge_rand",0.5,"3298","Eff","run2",0.332211857962695
"390","IW","node_rand",0.5,"152","Eff","run2",0.312893491371554
"391","IW","edge_rand",0.5,"3298","Eigen","run2",0.0537501985228298
"392","IW","node_rand",0.5,"152","Eigen","run2",0.306262673034705
"393","IW","edge_rand",0.5,"3298","Pcr","run2",0.949668925899247
"394","IW","node_rand",0.5,"152","Pcr","run2",0.928872759006835
"395","IW","edge_rand",0.6,"3958","Eff","run2",0.323535266498486
"396","IW","node_rand",0.6,"183","Eff","run2",0.34629100085643
"397","IW","edge_rand",0.6,"3958","Eigen","run2",0.0333408001423592
"398","IW","node_rand",0.6,"183","Eigen","run2",0.420150569291199
